peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
55.39,1.66,M,38,0,0,4,0,0,0,N,0,2,2
89.8,1.63,M,38,0,6,2,6,6,0,N,1,2,1
65.4,1.69,M,49,0,1,3,0,1,0,N,0,1,1
72.06,1.77,V,39,0,0,0,0,0,0,N,1,2,2
68.3,1.77,V,45,130,0,1,3,0,2,N,1,2,3
60.76,1.73,V,55,0,0,4,1,0,0,N,0,1,0
124.83,1.78,V,18,0,1,0,23,14,0,N,2,2,1
73.98,1.7,V,18,220,0,0,10,5,0,N,1,4,4
64.87,1.81,V,30,0,0,0,0,0,0,N,3,4,4
78.72,1.74,V,32,0,2,3,6,9,0,N,1,3,4
53.28,1.62,M,60,0,0,0,0,0,1,N,0,2,1
82.24,1.72,V,48,0,0,2,0,9,NA,N,1,1,0
77.46,1.64,M,18,0,0,4,10,10,0,N,2,4,3
86.99,1.7,M,49,60,7,1,2,9,0,N,2,4,3
99.94,1.77,V,22,0,2,0,6,12,11,N,0,1,0
94.3,1.59,M,33,0,15,0,1,1,0,N,2,3,3
59.51,1.63,M,60,40,0,0,14,4,0,N,2,4,4
86.65,1.68,M,41,0,14,4,0,0,0,N,1,4,4
79.04,1.55,M,56,0,13,4,0,1,0,N,0,2,2
56.42,1.62,M,46,0,0,0,4,4,0,N,1,3,2
105.84,1.68,M,51,90,20,0,2,0,5,N,3,4,3
62.09,1.68,M,59,0,0,0,5,0,1,N,1,1,0
55.62,1.59,M,51,0,0,4,6,0,0,N,0,0,0
62.58,1.71,V,99,140,0,2,0,11,0,N,1,1,3
48.64,1.6,M,18,0,0,0,0,0,6,N,2,4,3
57.39,1.59,M,18,0,0,2,5,6,5,N,2,4,4
66.04,1.68,M,32,0,0,1,4,10,0,N,4,4,4
62.35,1.65,M,51,0,0,1,8,6,0,S,2,2,3
116.96,1.71,M,50,10,13,2,30,16,6,N,3,3,4
84.51,1.71,M,18,50,8,1,0,0,7,S,0,2,1
123.9,1.76,V,54,0,8,3,28,21,0,N,2,1,2
98.47,1.73,V,18,80,4,0,12,5,0,N,2,3,3
60.82,1.71,M,40,0,0,0,0,2,0,N,2,4,3
65.02,1.7,V,29,0,0,1,8,4,0,N,2,4,4
111.82,1.79,V,42,0,0,0,19,17,0,N,0,1,2
50.8,1.68,V,63,80,0,5,0,0,0,N,2,4,4
53.69,1.69,M,40,0,3,7,2,2,0,N,3,4,4
90.92,1.67,M,18,100,7,2,0,4,0,N,0,3,3
92.93,1.76,V,56,40,11,1,3,6,1,N,3,4,4
56.25,1.61,M,29,0,0,3,0,4,0,N,2,3,3
75.08,1.74,V,34,0,0,3,8,3,1,N,1,2,0
53.25,1.64,M,41,0,2,1,0,0,1,N,3,4,4
100.76,1.75,M,22,0,2,2,10,13,0,S,2,3,2
63.74,1.6,M,26,0,0,4,7,5,0,N,0,2,2
54.77,1.73,V,79,0,0,1,6,0,0,N,1,2,2
